order_status,order_products_value,order_freight_value,order_items_qty,order_sellers_qty,order_purchase_timestamp,order_aproved_at,order_estimated_delivery_date,order_delivered_customer_date,customer_state,product_name_lenght,product_description_lenght,product_photos_qty,product_category_name_english
delivered,19.9,16.79,1,1,1/6/2018 7:36,1/6/2018,2/8/2018,18/1/2018,MG,52,390,1,electronics
delivered,264.95,63.55,5,1,27/9/2017 9:52,28/9/2017,19/10/2017,10/9/2017,SP,28,432,1,housewares
delivered,1340.0,41.83,1,1,12/12/2017 11:30,12/12/2017,1/10/2018,1/9/2018,RJ,55,3632,4,computers
delivered,84.99,15.35,1,1,12/10/2017 22:51,12/10/2017,1/8/2018,21/12/2017,DF,49,1495,3,health_beauty
delivered,69.9,13.51,1,1,29/5/2017 19:05,29/5/2017,19/6/2017,6/5/2017,SP,57,320,2,stationery
delivered,27.9,14.1,1,1,9/3/2017 23:44,9/4/2017,22/9/2017,9/11/2017,RJ,32,1078,2,computers_accessories
delivered,26.0,10.96,1,1,3/9/2017 10:38,3/9/2017,31/3/2017,25/3/2017,SP,64,669,4,furniture_decor
delivered,89.99,19.17,1,1,23/11/2017 22:18,23/11/2017,22/12/2017,12/3/2017,PE,59,492,3,health_beauty
delivered,129.0,58.76,1,1,3/6/2018 13:06,3/6/2018,27/3/2018,16/3/2018,SP,59,1893,1,computers_accessories
processing,18.3,14.52,1,2,15/2/2017 10:57,15/2/2017,16/3/2017,,PR,36,471,2,furniture_decor
delivered,115.74,30.0,2,1,25/7/2017 15:37,25/7/2017,9/12/2017,8/2/2017,SP,58,540,1,health_beauty
delivered,129.99,18.16,1,1,15/6/2017 9:34,15/6/2017,7/10/2017,7/5/2017,SC,46,650,1,cool_stuff
delivered,83.9,12.09,1,1,5/7/2017 18:34,5/7/2017,29/5/2017,17/5/2017,SP,63,418,1,furniture_decor
delivered,265.94,17.36,2,1,2/5/2018 12:49,2/5/2018,22/2/2018,2/9/2018,SP,42,604,1,computers_accessories
delivered,56.0,24.52,1,1,16/4/2018 10:52,16/4/2018,5/10/2018,24/4/2018,TO,57,558,1,pet_shop
delivered,99.0,33.08,1,1,9/8/2017 20:16,9/8/2017,28/9/2017,18/9/2017,RJ,36,450,1,garden_tools
delivered,92.34,17.9,1,1,10/2/2017 21:16,10/2/2017,27/10/2017,13/10/2017,SC,49,578,2,sports_leisure
delivered,74.9,12.65,1,1,13/2/2018 20:51,13/2/2018,16/3/2018,14/3/2018,SP,33,694,1,auto
delivered,90.0,18.51,1,1,28/5/2018 14:33,28/5/2018,29/6/2018,6/4/2018,DF,25,2247,1,consoles_games
delivered,89.7,18.73,1,1,14/7/2018 8:50,17/7/2018,8/2/2018,24/7/2018,SP,51,1592,2,pet_shop
delivered,119.0,19.74,1,1,16/4/2018 20:03,17/4/2018,15/5/2018,5/3/2018,BA,59,1893,1,computers_accessories
delivered,59.9,17.67,1,1,6/8/2017 16:18,6/8/2017,7/12/2017,24/6/2017,ES,59,341,2,garden_tools
delivered,132.9,14.33,1,1,9/1/2017 10:06,9/1/2017,15/9/2017,9/12/2017,RJ,60,603,2,cool_stuff
delivered,99.7,15.45,1,1,7/12/2017 11:49,7/12/2017,8/3/2017,20/7/2017,SP,48,1781,1,sports_leisure
shipped,55.0,22.97,1,1,5/2/2018 15:06,5/3/2018,24/5/2018,,RJ,60,1216,6,musical_instruments
delivered,98.0,26.82,2,1,24/11/2017 11:57,24/11/2017,14/12/2017,12/3/2017,SP,56,348,2,garden_tools
delivered,198.0,66.16,2,1,9/3/2017 8:06,9/3/2017,27/9/2017,9/8/2017,RJ,36,450,1,garden_tools
delivered,66.0,11.96,1,1,17/8/2017 10:01,18/8/2017,9/8/2017,28/8/2017,SP,45,494,1,furniture_decor
delivered,15.9,16.79,1,1,18/7/2017 18:42,18/7/2017,8/9/2017,28/7/2017,ES,20,1031,1,computers_accessories
delivered,78.0,15.65,1,1,8/4/2018 16:47,8/4/2018,20/8/2018,13/8/2018,RJ,59,319,4,watches_gifts
delivered,110.0,62.44,1,1,23/3/2018 14:47,26/3/2018,16/4/2018,4/10/2018,SP,47,1893,1,garden_tools
delivered,219.99,16.29,1,1,6/6/2017 21:31,6/6/2017,7/5/2017,19/6/2017,RS,47,162,3,bed_bath_table
delivered,59.9,18.31,1,1,1/8/2018 23:31,1/8/2018,31/1/2018,1/12/2018,SP,59,651,5,auto
delivered,79.89,8.75,1,1,1/10/2018 14:06,1/10/2018,29/1/2018,15/1/2018,SP,31,154,3,furniture_decor
delivered,110.0,15.88,2,1,18/9/2017 10:42,18/9/2017,28/9/2017,10/5/2017,RJ,41,1159,4,watches_gifts
delivered,51.9,18.24,1,1,4/7/2018 9:37,4/7/2018,5/7/2018,4/12/2018,MG,47,203,1,sports_leisure
delivered,130.0,27.99,1,1,28/7/2018 15:14,28/7/2018,8/8/2018,8/2/2018,SP,49,386,1,auto
delivered,29.0,16.79,1,1,24/8/2017 21:04,24/8/2017,26/9/2017,9/6/2017,BA,60,167,2,watches_gifts
delivered,34.9,25.38,1,1,30/12/2017 11:09,30/12/2017,30/1/2018,1/12/2018,PI,40,486,1,sports_leisure
delivered,109.9,13.79,1,1,18/6/2017 17:41,18/6/2017,13/7/2017,27/6/2017,SP,53,155,2,bed_bath_table
delivered,79.9,42.07,1,2,6/10/2018 19:09,6/10/2018,7/3/2018,21/6/2018,RJ,54,245,1,bed_bath_table
canceled,44.99,7.65,1,1,15/9/2016 13:03,,10/7/2016,,MG,34,1036,1,health_beauty
delivered,94.9,18.9,1,1,4/5/2017 10:35,4/5/2017,5/9/2017,4/12/2017,ES,47,1038,1,sports_leisure
delivered,69.0,38.03,1,1,10/8/2017 10:33,10/8/2017,11/9/2017,26/10/2017,SE,59,398,6,garden_tools
delivered,34.3,15.1,1,1,13/1/2018 19:37,13/1/2018,2/6/2018,30/1/2018,ES,57,66,1,fashion_bags_accessories
delivered,119.94,38.68,1,1,31/7/2017 23:21,8/1/2017,28/8/2017,15/8/2017,SC,49,1067,1,office_furniture
delivered,209.99,17.23,1,1,10/3/2017 23:44,10/5/2017,11/7/2017,10/11/2017,RS,35,514,2,watches_gifts
delivered,38.0,15.1,1,1,25/11/2017 3:46,25/11/2017,19/12/2017,12/11/2017,RJ,28,919,3,consoles_games
delivered,35.0,37.04,1,1,4/11/2018 16:32,4/11/2018,16/5/2018,30/4/2018,PE,58,356,1,health_beauty
delivered,89.9,13.21,1,1,25/2/2017 18:06,25/2/2017,24/3/2017,14/3/2017,SP,57,188,1,bed_bath_table
delivered,100.0,15.0,1,1,23/7/2018 15:16,25/7/2018,16/8/2018,13/8/2018,SP,43,518,1,computers_accessories
delivered,59.7,15.17,1,1,19/1/2018 10:42,19/1/2018,16/2/2018,29/1/2018,MG,53,1011,1,health_beauty
delivered,185.0,23.88,1,1,23/8/2017 18:46,23/8/2017,9/5/2017,25/8/2017,SP,35,1765,3,baby
delivered,12.97,14.11,1,1,23/1/2017 21:55,25/1/2017,3/2/2017,2/2/2017,RJ,37,326,2,telephony
delivered,12.0,7.78,1,1,23/12/2017 18:35,23/12/2017,15/1/2018,28/12/2017,SP,52,1059,6,health_beauty
delivered,66.9,28.87,1,1,8/5/2017 16:50,8/5/2017,9/11/2017,20/8/2017,PE,46,1527,1,health_beauty
delivered,79.9,15.32,1,1,30/11/2017 9:29,30/11/2017,26/12/2017,18/12/2017,PR,36,529,2,toys
invoiced,76.25,42.56,1,1,3/1/2018 19:31,3/2/2018,4/2/2018,,AL,33,694,1,auto
delivered,29.9,22.28,1,1,3/3/2017 9:23,3/4/2017,4/3/2017,24/3/2017,CE,50,531,4,furniture_decor
delivered,47.96,16.32,1,1,5/8/2018 12:38,5/8/2018,28/5/2018,15/5/2018,SP,52,148,1,arts_and_craftmanship
delivered,590.4,252.9,3,1,9/5/2018 8:46,9/5/2018,10/11/2018,17/9/2018,PB,56,613,5,housewares
delivered,99.9,16.33,1,1,9/10/2017 16:39,9/12/2017,27/9/2017,30/9/2017,SP,31,236,2,sports_leisure
delivered,33.3,18.23,1,1,17/5/2018 10:02,17/5/2018,6/8/2018,6/4/2018,ES,63,450,2,housewares
delivered,475.6,49.86,1,1,11/3/2017 10:40,11/4/2017,12/5/2017,30/11/2017,CE,36,1315,2,cool_stuff
delivered,50.9,13.38,1,1,19/1/2018 17:59,19/1/2018,14/2/2018,30/1/2018,MG,44,221,1,luggage_accessories
delivered,189.0,16.07,1,1,2/2/2018 10:10,2/3/2018,3/5/2018,22/2/2018,ES,42,721,2,watches_gifts
delivered,150.0,15.18,1,4,28/6/2018 14:18,29/6/2018,18/7/2018,7/4/2018,SP,57,324,1,bed_bath_table
delivered,39.8,15.56,2,1,18/7/2017 9:30,19/7/2017,31/7/2017,31/7/2017,SP,44,610,1,health_beauty
delivered,45.9,16.11,1,1,14/2/2018 19:01,15/2/2018,13/3/2018,21/2/2018,SC,58,560,1,perfumery
delivered,24.99,15.79,1,1,30/6/2017 13:21,7/4/2017,26/7/2017,14/7/2017,SP,56,197,5,fashion_bags_accessories
delivered,41.5,35.67,1,1,26/2/2018 10:44,26/2/2018,27/3/2018,3/7/2018,PE,60,479,1,sports_leisure
delivered,79.8,29.04,2,1,10/5/2016 13:12,10/6/2016,29/11/2016,27/10/2016,MG,54,363,1,telephony
delivered,85.0,18.7,1,1,26/6/2018 22:46,28/6/2018,18/7/2018,7/4/2018,MG,59,755,2,watches_gifts
delivered,439.0,20.32,1,1,15/8/2017 11:30,17/8/2017,9/6/2017,29/8/2017,RJ,44,885,1,audio
delivered,8.5,17.63,1,1,10/4/2017 9:10,10/4/2017,31/10/2017,10/9/2017,TO,41,533,1,computers_accessories
shipped,89.9,34.79,1,1,25/6/2017 16:47,26/6/2017,7/7/2017,,SP,47,482,2,luggage_accessories
delivered,109.9,17.21,1,1,18/10/2017 15:14,18/10/2017,21/11/2017,11/8/2017,MT,33,1076,3,watches_gifts
delivered,220.0,38.68,1,1,21/1/2018 9:13,22/1/2018,3/7/2018,23/2/2018,PA,62,313,1,bed_bath_table
delivered,25.99,7.78,1,1,16/6/2017 17:12,20/6/2017,29/6/2017,29/6/2017,SP,59,266,2,telephony
delivered,49.0,17.67,1,1,25/11/2017 9:33,25/11/2017,19/12/2017,12/7/2017,RJ,58,340,2,garden_tools
delivered,60.0,15.17,1,1,13/2/2018 23:22,13/2/2018,3/7/2018,21/2/2018,RJ,60,1153,2,sports_leisure
delivered,31.9,14.1,1,1,1/7/2018 23:00,1/9/2018,2/8/2018,22/1/2018,SP,33,1084,2,computers_accessories
